tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class,poi_count_pendidikan,dist_nearest_pendidikan,poi_count_kesehatan,dist_nearest_kesehatan,poi_count_komersial,dist_nearest_komersial,poi_count_katering,dist_nearest_katering,poi_count_finansial,dist_nearest_finansial,poi_count_olahraga,dist_nearest_olahraga,transit_accessibility,norm_pendidikan,norm_kesehatan,norm_komersial,norm_katering,norm_finansial,norm_olahraga,service_accessibility,accessibility_score
10125360884_10125360885_STOP108,1,134.2,134.2,134.2,Puskesmas Kopo,,trunk_link,-6.946058799999998,107.5904505,Sangat Dekat (<200m),0,1233.6,0,1426.2,5,271.1,1,275.3,1,332.0,0,1701.7,0.83225,0.0,0.0,0.2,0.02127659574468085,0.07142857142857142,0.0,0.048784194528875384,0.4405
10125360884_3272542990_STOP108,2,116.2,98.2,134.2,Puskesmas Kopo,Jalan Soekarno-Hatta,trunk,-6.945969523169668,107.59024286173964,Sangat Dekat (<200m),0,1258.8,0,1427.2,5,292.4,1,297.1,1,328.3,0,1726.8,0.85475,0.0,0.0,0.2,0.02127659574468085,0.07142857142857142,0.0,0.048784194528875384,0.4518
10125360885_11369316680_STOP108,2,169.25,148.7,189.8,Puskesmas Kopo,Jalan Soekarno-Hatta,trunk,-6.945970321770991,107.59074793469684,Sangat Dekat (<200m),0,1207.5,0,1403.6,6,236.8,2,241.2,3,316.4,0,1677.3,0.7884375,0.0,0.0,0.24,0.0425531914893617,0.21428571428571427,0.0,0.08280648429584599,0.4356
10125360885_11369316680_STOP121,2,38.2,13.3,63.1,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.9469043771443735,107.59376745785876,Sangat Dekat (<200m),0,860.1,0,1406.4,7,116.7,8,149.6,3,129.5,0,1334.9,0.95225,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.5315
10125360885_11369316680_STOP385,5,103.14,28.2,195.8,Seberang Terminal Leuwipanjang,Jalan Soekarno-Hatta,trunk,-6.946493977309041,107.592240290457,Sangat Dekat (<200m),0,1032.4,0,1400.5,7,107.4,7,113.6,4,239.2,0,1504.0,0.871075,0.0,0.0,0.28,0.14893617021276595,0.2857142857142857,0.0,0.11910840932117528,0.4951
10125575435_12135879793_STOP121,1,208.7,208.7,208.7,Leuwipanjang Soekarno Hatta,Jalan Leuwi Panjang,primary,-6.947203700000004,107.5952745,Dekat (200-400m),0,698.1,0,1248.0,7,146.3,8,118.1,3,184.3,0,1176.6,0.739125,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.4249
10125575435_3272382569_STOP121,1,208.7,208.7,208.7,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947203700000004,107.5952745,Dekat (200-400m),0,698.1,0,1248.0,7,146.3,8,118.1,3,184.3,0,1176.6,0.739125,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.4249
1013421522_5358212370_STOP239,1,35.4,35.4,35.4,Bandros Alun-alun,Jalan Dalem Kaum,secondary,-6.9225267000000095,107.6075166,Sangat Dekat (<200m),4,211.2,1,154.8,9,150.2,68,32.1,15,125.7,0,613.5,0.95575,1.0,0.3333333333333333,0.36,1.0,1.0,0.0,0.6155555555555555,0.7857
1013421522_5852700917_STOP239,1,35.4,35.4,35.4,Bandros Alun-alun,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']",tertiary,-6.9225267000000095,107.6075166,Sangat Dekat (<200m),4,211.2,1,154.8,9,150.2,68,32.1,15,125.7,0,613.5,0.95575,1.0,0.3333333333333333,0.36,1.0,1.0,0.0,0.6155555555555555,0.7857
1013421522_5852700917_STOP7,1,38.4,38.4,38.4,Alun-alun Bandung,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']",tertiary,-6.921258428042811,107.60749293286612,Sangat Dekat (<200m),1,346.0,1,201.0,14,87.6,73,125.2,17,39.3,0,472.8,0.952,0.3333333333333333,0.3333333333333333,0.56,1.0,1.0,0.0,0.5377777777777778,0.7449
1013421522_5852700917_STOP788,2,29.5,22.0,37.0,Jalan Alun-alun Timur,"['Jalan Alun-alun Timur', 'Jalan Asia Afrika']",tertiary,-6.921865976506199,107.6076192044468,Sangat Dekat (<200m),1,277.0,1,177.9,11,127.0,70,95.9,17,103.7,0,539.4,0.963125,0.3333333333333333,0.3333333333333333,0.44,1.0,1.0,0.0,0.5177777777777778,0.7405
1013431926_7856163871_STOP318,2,61.1,36.3,85.9,Grand Yogya Kepatihan,Jalan Dewi Sartika,secondary,-6.9233123268938295,107.60633073154918,Sangat Dekat (<200m),4,213.6,1,99.5,10,79.9,65,31.4,12,41.6,0,719.9,0.923625,1.0,0.3333333333333333,0.4,1.0,0.8571428571428571,0.0,0.5984126984126984,0.761
1013431926_7990471529_STOP307,3,67.2,19.3,116.0,Toko Mas ABC,Jalan Kepatihan,tertiary,-6.923211513746559,107.60456770093462,Sangat Dekat (<200m),2,276.7,1,193.7,11,60.2,63,24.8,9,20.9,0,779.4,0.916,0.6666666666666666,0.3333333333333333,0.44,1.0,0.6428571428571429,0.0,0.5138095238095238,0.7149
1013431926_7990471529_STOP318,3,66.2,36.3,101.1,Grand Yogya Kepatihan,Jalan Kepatihan,tertiary,-6.923409259580898,107.60589541322544,Sangat Dekat (<200m),4,201.2,1,110.8,10,93.8,65,13.0,10,66.5,0,743.1,0.91725,1.0,0.3333333333333333,0.4,1.0,0.7142857142857143,0.0,0.5746031746031747,0.7459
1013431927_7856163872_STOP307,3,50.4,11.7,94.7,Toko Mas ABC,Jalan Kepatihan,tertiary,-6.923153614920466,107.60438585909536,Sangat Dekat (<200m),2,294.2,1,209.6,11,55.6,63,9.1,9,8.4,0,783.4,0.937,0.6666666666666666,0.3333333333333333,0.44,1.0,0.6428571428571429,0.0,0.5138095238095238,0.7254
1013431927_7856163872_STOP318,4,88.225,53.6,122.2,Grand Yogya Kepatihan,Jalan Kepatihan,tertiary,-6.923222093303824,107.60587857437612,Sangat Dekat (<200m),4,222.1,1,91.2,10,75.2,65,28.9,11,72.4,0,723.7,0.88971875,1.0,0.3333333333333333,0.4,1.0,0.7857142857142857,0.0,0.5865079365079365,0.7381
1013431927_7990471529_STOP307,1,11.7,11.7,11.7,Toko Mas ABC,Jalan Otto Iskandardinata,primary,-6.923115199999993,107.6039369,Sangat Dekat (<200m),1,330.9,1,255.2,11,36.1,62,47.0,8,54.4,0,805.6,0.985375,0.3333333333333333,0.3333333333333333,0.44,1.0,0.5714285714285714,0.0,0.4463492063492063,0.7159
10134513808_10125575435_STOP121,1,199.7,199.7,199.7,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947189700000003,107.5951948,Sangat Dekat (<200m),0,706.5,0,1256.4,7,140.8,8,118.1,3,177.9,0,1184.7,0.750375,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.4306
10134513808_3272382565_STOP121,1,199.7,199.7,199.7,Leuwipanjang Soekarno Hatta,Jalan Leuwi Panjang,primary,-6.947189700000003,107.5951948,Sangat Dekat (<200m),0,706.5,0,1256.4,7,140.8,8,118.1,3,177.9,0,1184.7,0.750375,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.4306
10134513809_10134513808_STOP121,1,205.1,205.1,205.1,Leuwipanjang Soekarno Hatta,Jalan Raya Cibaduyut,primary,-6.947381300000004,107.5951905,Dekat (200-400m),0,695.9,0,1245.9,7,160.1,8,139.1,3,195.7,0,1173.1,0.743625,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.4272
10134513809_10816174969_STOP121,1,205.1,205.1,205.1,Leuwipanjang Soekarno Hatta,Jalan Soekarno-Hatta,trunk,-6.947381300000004,107.5951905,Dekat (200-400m),0,695.9,0,1245.9,7,160.1,8,139.1,3,195.7,0,1173.1,0.743625,0.0,0.0,0.28,0.1702127659574468,0.21428571428571427,0.0,0.11074974670719352,0.4272
1014721714_1014722257_STOP22,4,187.95,169.2,216.0,Sekolah Ganesha,Jalan Pelindung Hewan,tertiary,-6.9400464937161415,107.60490137855348,Sangat Dekat (<200m),1,184.4,2,366.0,1,231.3,0,673.0,7,187.1,0,1476.3,0.7650625,0.3333333333333333,0.6666666666666666,0.04,0.0,0.5,0.0,0.25666666666666665,0.5109
1014721714_1014722257_STOP593,3,124.2,89.4,162.4,Mohammad Toha Pelindung Hewan,Jalan Pelindung Hewan,tertiary,-6.940763028158899,107.6060700917576,Sangat Dekat (<200m),1,313.0,2,370.2,3,330.2,0,620.4,10,101.2,0,1412.9,0.84475,0.3333333333333333,0.6666666666666666,0.12,0.0,0.7142857142857143,0.0,0.30571428571428577,0.5752
1014721714_5353902941_STOP22,4,280.975,216.0,348.1,Sekolah Ganesha,,tertiary,-6.940230370095692,107.60397903314204,Dekat (200-400m),1,79.7,0,446.1,1,137.7,0,771.7,7,83.2,0,1451.9,0.64878125,0.3333333333333333,0.0,0.04,0.0,0.5,0.0,0.14555555555555555,0.3972
1014722257_3110265322_STOP310,1,192.7,192.7,192.7,Madurasa Tengah,Jalan Mohammad Toha,primary,-6.943570828629787,107.6077888051616,Sangat Dekat (<200m),0,613.6,0,633.4,2,110.8,0,752.5,4,52.8,0,1162.4,0.759125,0.0,0.0,0.08,0.0,0.2857142857142857,0.0,0.06095238095238095,0.41
1014722257_3110265322_STOP593,7,102.95714285714288,22.3,222.9,Mohammad Toha Pelindung Hewan,Jalan Mohammad Toha,primary,-6.941857053428267,107.60721447648382,Sangat Dekat (<200m),0,466.9,0,446.3,2,257.6,0,621.9,7,146.2,0,1322.4,0.8713035714285714,0.0,0.0,0.08,0.0,0.5,0.0,0.09666666666666666,0.484
1014722257_5348770323_STOP22,3,75.0,25.5,124.8,Sekolah Ganesha,Jalan Mohammad Toha,primary,-6.939710724151748,107.60650891850442,Sangat Dekat (<200m),2,331.6,2,244.8,0,408.2,0,505.5,6,75.2,0,1536.8,0.90625,0.6666666666666666,0.6666666666666666,0.0,0.0,0.42857142857142855,0.0,0.29365079365079366,0.6
1014722257_5348770323_STOP227,2,46.55,22.3,70.8,Muhammad Toha 1 (PT INTI A),Jalan Mohammad Toha,primary,-6.938626236848944,107.60620712323214,Sangat Dekat (<200m),2,302.0,2,157.5,0,441.7,0,469.3,6,53.0,0,1650.1,0.9418125,0.6666666666666666,0.6666666666666666,0.0,0.0,0.42857142857142855,0.0,0.29365079365079366,0.6177
1014722257_5348770323_STOP593,1,79.2,79.2,79.2,Mohammad Toha Pelindung Hewan,Jalan Mohammad Toha,primary,-6.940569500000002,107.6067904,Sangat Dekat (<200m),2,380.7,2,317.0,0,400.3,0,549.9,7,18.7,0,1449.6,0.901,0.6666666666666666,0.6666666666666666,0.0,0.0,0.5,0.0,0.3055555555555555,0.6033
1014722265_11380591251_STOP30,3,85.33333333333333,39.5,132.6,Terminal Abdul Muis/Kebon Kalapa,Jalan Pungkur,secondary,-6.927448548351342,107.60660545711312,Sangat Dekat (<200m),5,200.2,2,69.2,7,61.0,5,37.5,2,118.2,0,1168.5,0.8933333333333333,1.0,0.6666666666666666,0.28,0.10638297872340426,0.14285714285714285,0.0,0.36598446470786894,0.6297
1014722265_1831360476_STOP29,6,166.95000000000002,113.4,255.3,SDN 020 Lengkong Besar,Jalan Pungkur,secondary,-6.930492735925341,107.61154026284548,Sangat Dekat (<200m),0,517.8,0,452.2,2,254.7,2,147.1,0,455.2,0,1512.6,0.7913125,0.0,0.0,0.08,0.0425531914893617,0.0,0.0,0.020425531914893616,0.4059
