name,lat,lon
Karangsetra Waterland,-6.879034,107.5952327
Holis 2,-6.9248748,107.5749968
Jalan Panaitan,-6.9194439,107.617851
SMA Negeri 3 dan 5 Bandung,-6.9120262,107.6150543
Tamblong,-6.9189897,107.6124026
Pasar Caringin,-6.9419488,107.5829502
Simpang Tol Pasirkoja,-6.9299302,107.577006
Cimuncang,-6.9017562,107.6490456
Cikutra,-6.8998699,107.6426541
BKKBN,-6.8983461,107.6325214
SMPN 63 Kota Bandung,-6.8999494,107.629359
Wisma BKN,-6.8993034,107.6222946
Griya Pasteur 1,-6.8951325,107.5884158
Lemahneundeut,-6.8813132,107.5786866
Sarijadi,-6.8816157,107.5784171
Setrasari,-6.8821935,107.5815739
GKI Pasteur,-6.9001777,107.6027221
Tamansari Cikapayang,-6.8981855,107.6101358
Sekolah Pribadi,-6.8991824,107.6404694
Panyileukan,-6.9358084,107.7121641
Cimincrang,-6.9361993,107.7064259
Shakti,-6.9368707,107.697091
Cipamokolan,-6.9383287,107.676837
Ranca Mekar,-6.9381511,107.6794103
Komplek Aria Graha,-6.9386008,107.6729063
Metro Soekarno Hatta,-6.9390576,107.6666635
Rancabolang,-6.9393267,107.6633158
SMKN 7 Bandung,-6.9398654,107.6601932
BPN Kanwil Jabar,-6.9407366,107.6571056
Kantor Pos Sekejati,-6.9427595,107.6506832
Universitas Islam Nusantara,-6.9448872,107.6441077
SPBU Simpang Buah Batu Soekarno Hatta,-6.947564,107.6353127
SDN Moh. Toha,-6.9301233,107.6067372
Stasiun Cikudapateuh,-6.918959,107.6258168
Magna,-6.9568639,107.6879972
Taman Radio B,-6.9025294,107.6116276
Taman Radio A,-6.9024749,107.6114965
Terminal Leuwipanjang,-6.9459897,107.5932021
SDN Raya Barat,-6.9184323,107.5833305
Batas Kota,-6.9109319,107.5693298
ITENAS,-6.8981794,107.6362141
Warung Cepot,-6.8924096,107.5832441
Pangkalan DAMRI Cibiru,-6.933541,107.716247
Komplek Sarimas,-6.9047492,107.6723164
Holis 1,-6.9251928,107.5752801
Sumbersari 1,-6.9313093,107.5763409
Griya Sumbersari,-6.9325703,107.5765441
Simpang Caringin,-6.9433476,107.5850896
Seberang Terminal Leuwipanjang,-6.9469636,107.5929715
Sekolah Al-Azhar Summarecon,-6.9605166,107.7014518
Dayana,-6.9629584,107.7021527
Pasar Sinpasa,-6.9523642,107.6977362
PT LEN Industri B,-6.9489281,107.6191679
RSUD Bandung Kiwari,-6.9431401,107.5913639
Sarimanah,-6.8814943,107.5764412
Griya Pasteur 2,-6.8948348,107.5884023
PVMBG,-6.8993861,107.6203681
Muara A,-6.9370496,107.6020301
Seberang Kiara Artha,-6.9146677,107.6439103
Barat Simpang Kopo Caringin,-6.9467495,107.5879393
Terminal Cibaduyut,-6.9617764,107.5938174
Simpang Holis Soekarno Hatta,-6.9236327,107.575072
Surya Kencana,-6.8947864,107.6144034
,-6.9612061,107.666414
Mesjid Jami Al Hamidah Cibolerang,-6.948729,107.5656564
RSUD Ujungberung,-6.9158647,107.6992411
Simpang Gedebage Selatan,-6.9377899,107.6926176
Simpang Gegerkalong Hilir,-6.8703894,107.5929717
Taman Adipura,-6.9067277,107.599217
SDN 013 Pajajaran,-6.9081011,107.5976036
Simpang H. Mesri - Kebon Kawung 1,-6.9125566,107.6007131
Balai Bahasa Jawa Barat,-6.913675,107.6172832
Taman Musik Jalan Sumbawa,-6.9123329,107.6164338
Yogya Jalan Sunda,-6.917894,107.6180035
Unla,-6.9311247,107.6156953
Banteng Sadakeling,-6.9315741,107.6183241
SMK Medina,-6.9313205,107.6190558
Museum Mandala Wangsit Siliwangi,-6.9170338,107.6111296
SD Negeri Merdeka,-6.9156326,107.6102154
STIE Ekuitas,-6.8985904,107.6378635
