lat,lon,category
-6.9558066,107.6518651,Komersial
-6.9577205,107.6518169,Komersial
-6.8995892,107.612431,Komersial
-6.9010937,107.6125222,Komersial
-6.9144997,107.6056015,Komersial
-6.8835605,107.5824814,Komersial
-6.9389453,107.6757454,Komersial
-6.9389299,107.674953,Komersial
-6.9070034,107.5996552,Komersial
-6.9211868,107.6191306,Komersial
-6.9236577,107.6232719,Komersial
-6.923892,107.6258683,Komersial
-6.9242192,107.6201322,Komersial
-6.8853779,107.6046252,Komersial
-6.885527,107.6045394,Komersial
-6.8959866,107.5997543,Komersial
-6.8961784,107.5967288,Komersial
-6.9304101,107.6436996,Komersial
-6.8680157,107.6205254,Komersial
-6.9360122,107.6427555,Komersial
-6.930048,107.6259971,Komersial
-6.928083,107.6376378,Komersial
-6.9273002,107.6418972,Komersial
-6.9035393,107.6052614,Komersial
-6.8931747,107.6050973,Komersial
-6.9065242,107.6161383,Komersial
-6.9071801,107.6233065,Komersial
-6.9483717,107.6312011,Komersial
-6.9487072,107.6295376,Komersial
-6.9501769,107.6287436,Komersial
-6.9531376,107.6279497,Komersial
-6.9237708,107.6030741,Komersial
-6.9149472,107.6339027,Komersial
-6.9112658,107.6275886,Komersial
-6.9133667,107.6606808,Komersial
-6.9346233,107.6259242,Komersial
-6.899106,107.6235504,Komersial
-6.9066168,107.6144633,Komersial
-6.9135994,107.6956572,Komersial
-6.9040627,107.664639,Komersial
-6.9049041,107.6777104,Komersial
-6.9017966,107.6530705,Komersial
-6.9039978,107.6665883,Komersial
-6.9050372,107.6811244,Komersial
-6.9103331,107.6896145,Komersial
-6.9319878,107.7152085,Komersial
-6.9194181,107.6309069,Komersial
-6.9246699,107.6286091,Komersial
-6.9226793,107.6212111,Komersial
-6.9223617,107.6296437,Komersial
-6.9138523,107.6341539,Komersial
-6.9201532,107.6170115,Komersial
-6.9188877,107.6098597,Komersial
-6.9035459,107.6154133,Komersial
-6.8787402,107.6167701,Komersial
-6.8799394,107.6164803,Komersial
-6.8776456,107.6174147,Komersial
-6.8850007,107.6139157,Komersial
-6.8777918,107.6171923,Komersial
-6.8804713,107.6163332,Komersial
-6.8849509,107.613931,Komersial
-6.8804199,107.616337,Komersial
-6.8786063,107.6168065,Komersial
-6.8800094,107.6164577,Komersial
-6.8788018,107.6167574,Komersial
-6.8800683,107.6164436,Komersial
-6.877817,107.6171725,Komersial
-6.8833996,107.6147516,Komersial
-6.8830528,107.6149602,Komersial
-6.8849013,107.6139444,Komersial
-6.8778549,107.6171499,Komersial
-6.8844222,107.6136004,Komersial
-6.8830706,107.6149502,Komersial
-6.8757734,107.6182085,Komersial
-6.8845143,107.6140493,Komersial
-6.8845704,107.61403,Komersial
-6.8847931,107.6139745,Komersial
-6.8808685,107.6162191,Komersial
-6.8809561,107.6161977,Komersial
-6.8781807,107.6169292,Komersial
-6.8844573,107.6140657,Komersial
-6.8848463,107.6139592,Komersial
-6.8785783,107.6168122,Komersial
-6.8829912,107.6149985,Komersial
-6.8785362,107.6168305,Komersial
-6.8788481,107.6167461,Komersial
-6.8781262,107.6169512,Komersial
-6.8829764,107.6150075,Komersial
-6.8749301,107.6190022,Komersial
-6.8749691,107.6189865,Komersial
-6.8748716,107.6190278,Komersial
-6.8746486,107.6191,Komersial
-6.874754,107.6190636,Komersial
-6.8676273,107.6208714,Komersial
-6.8724765,107.6199735,Komersial
-6.8735014,107.6195849,Komersial
-6.873337,107.6196375,Komersial
-6.8829988,107.6152587,Komersial
-6.8725543,107.61996,Komersial
-6.8724224,107.6199778,Komersial
-6.8733712,107.6196243,Komersial
-6.8681396,107.6208995,Komersial
-6.8725885,107.6199566,Komersial
-6.8726868,107.6199144,Komersial
-6.9161836,107.6326335,Komersial
-6.8679228,107.6204165,Komersial
-6.8668241,107.6207766,Komersial
-6.8678667,107.6204346,Komersial
-6.866567,107.620848,Komersial
-6.8667107,107.6208096,Komersial
-6.8673587,107.6205289,Komersial
-6.8667713,107.6207834,Komersial
-6.8666433,107.6208243,Komersial
-6.8677252,107.6204956,Komersial
-6.8666152,107.6208345,Komersial
-6.8667977,107.6207783,Komersial
-6.8738412,107.6191657,Komersial
-6.8664817,107.620865,Komersial
-6.8678083,107.6204843,Komersial
-6.8666725,107.6208175,Komersial
-6.8665344,107.6208514,Komersial
-6.8772971,107.6175519,Komersial
-6.9382684,107.6190544,Komersial
-6.9045465,107.6037254,Komersial
-6.9068306,107.6045393,Komersial
-6.9193276,107.6153555,Komersial
-6.9194462,107.6155548,Komersial
-6.9214958,107.6192977,Komersial
-6.902813,107.5973733,Komersial
-6.9419223,107.6673901,Komersial
-6.8711921,107.5939664,Komersial
-6.85857,107.5946023,Komersial
-6.9013861,107.5962662,Komersial
-6.9005058,107.5967658,Komersial
-6.8932001,107.6052024,Komersial
-6.8933013,107.6051976,Komersial
-6.8936042,107.6055955,Komersial
-6.9338248,107.6971453,Komersial
-6.9434333,107.6815225,Komersial
-6.931515,107.6432437,Komersial
-6.9448618,107.6418056,Komersial
-6.9344767,107.6429838,Komersial
-6.9324509,107.6545159,Komersial
-6.928128,107.6370022,Komersial
-6.9435883,107.6771995,Komersial
-6.9442907,107.6417939,Komersial
-6.9367946,107.6578288,Komersial
-6.9140956,107.6613256,Komersial
-6.9387802,107.6635394,Komersial
-6.9383132,107.6543632,Komersial
-6.9428949,107.6796136,Komersial
-6.9439088,107.6816132,Komersial
-6.9412376,107.6556326,Komersial
-6.9136745,107.645688,Komersial
-6.9256782,107.6446051,Komersial
-6.9311681,107.654629,Komersial
-6.9155023,107.667429,Komersial
-6.912639,107.655039,Komersial
-6.9087409,107.6269569,Komersial
-6.920388,107.612482,Komersial
-6.8901609,107.5954131,Komersial
-6.890354,107.5958951,Komersial
-6.8883569,107.5957414,Komersial
-6.8884219,107.595743,Komersial
-6.8881386,107.5958546,Komersial
-6.8888371,107.5957603,Komersial
-6.8882796,107.5957959,Komersial
-6.8897822,107.5958188,Komersial
-6.8896875,107.5958128,Komersial
-6.8895287,107.5958045,Komersial
-6.8892193,107.595776,Komersial
-6.8891524,107.5957721,Komersial
-6.8890914,107.5957714,Komersial
-6.8888962,107.595764,Komersial
