place_id,name,lat,lon,rating,total_reviews,category,types,nearest_stop,stop_lat,stop_lon
ChIJ6YkgrEjoaC4RC9juMHZ7uss,Indomaret Terusan Buah Batu,-6.958348200000001,107.6396179,3.5,72,komersial,"convenience_store,establishment,food,point_of_interest,store",Bluebird A,-6.9576973,107.6394485
ChIJM02HmEPoaC4RFZS0n9nNaGM,King Muay Thai Bandung,-6.9516807,107.636866,4.9,44,olahraga,"establishment,gym,health,point_of_interest",JAPNAS,-6.9512527,107.6364471
ChIJN2TDel3oaC4R_vjI0nwG3MY,Honda Autobest,-6.9483164,107.6311181,4.7,2798,komersial,"car_dealer,establishment,point_of_interest,store",Medal Sekarwangi,-6.9484832,107.6323261
ChIJ9VCdeF3oaC4RV7DJS-RdheA,"OLXmobbi Store - Soekarno Hatta, Bandung",-6.948605,107.6304244,4.3,983,komersial,"car_dealer,establishment,point_of_interest,store",Medal Sekarwangi,-6.9484832,107.6323261
ChIJn2poYl3oaC4R-bsyZJi0-SY,Martabak Mertua Cijagra Buahbatu,-6.9481607,107.6314392,4.4,232,katering,"bakery,establishment,food,point_of_interest,store",Medal Sekarwangi,-6.9484832,107.6323261
ChIJSVbElmfoaC4R5JI8qO84ctc,Hotel Grage Bandung,-6.9474965,107.6313601,4.4,175,lainnya,"establishment,lodging,point_of_interest",Medal Sekarwangi,-6.9484832,107.6323261
ChIJjeYXh47oaC4R1AdYf0YfW7o,PT. Unicorn Tosan Perkasa,-6.9478604,107.6126494,4.4,84,lainnya,"establishment,general_contractor,point_of_interest",PLN UP3 Bandung A,-6.9486572,107.6120894
ChIJj7aC3YrmaC4RbirrQTh9x8k,Pet Distro,-6.8804099,107.5966073,4.5,1023,komersial,"establishment,pet_store,point_of_interest,store",Karangsetra Waterland,-6.879034,107.5952327
ChIJHWPQvADmaC4RYawIbmA9hRo,Indomaret Soekarno Hatta,-6.9252718,107.5750417,4.4,422,komersial,"establishment,point_of_interest,store",Holis 2,-6.9248748,107.5749968
ChIJu4n3lQDmaC4RZ-HsXGxviB0,Sajira Mahardika Bandung,-6.9256386,107.575423,4.3,119,lainnya,"establishment,point_of_interest",Holis 2,-6.9248748,107.5749968
ChIJWyq4TAfmaC4RIDQSOiXu8o4,bank bjb KCP Sumbersari,-6.924345199999999,107.5753151,4.5,105,finansial,"bank,establishment,finance,point_of_interest",Holis 2,-6.9248748,107.5749968
ChIJtQ6ImQDmaC4Rp3PtPKY6JM8,Miranty Catering Company,-6.9250615,107.5738574,4.8,95,katering,"establishment,food,point_of_interest",Holis 2,-6.9248748,107.5749968
ChIJ41-3sADmaC4R880_fWzHQ9Y,Alfamart Soekarno Hatta,-6.925101,107.575347,3.6,42,komersial,"convenience_store,establishment,food,grocery_or_supermarket,point_of_interest",Holis 2,-6.9248748,107.5749968
ChIJu0oXhS3maC4RokI-NC2WOkM,Yami-Yami Noodle House,-6.919285800000001,107.6177014,4.5,1265,katering,"establishment,food,point_of_interest,restaurant",Jalan Panaitan,-6.9194439,107.617851
ChIJ222lczLmaC4REwIeF1C4oCw,Latief Inn Bandung,-6.917326,107.6173935,4.4,525,lainnya,"establishment,lodging,point_of_interest",Jalan Panaitan,-6.9194439,107.617851
ChIJL_3iuS3maC4RA305T0pgLvc,Bengkel Panaitan Power Steering,-6.919552599999999,107.6176362,4.7,171,komersial,"car_dealer,car_repair,establishment,point_of_interest,store",Jalan Panaitan,-6.9194439,107.617851
ChIJPau3si3maC4Rlyu0YEKtAbI,Zerotoys,-6.9200691,107.6176937,4.6,120,komersial,"establishment,museum,point_of_interest,store",Jalan Panaitan,-6.9194439,107.617851
ChIJe3de6C3maC4RccdesYoEmng,Sunda Mall,-6.9188889,107.6183333,4.3,101,lainnya,"establishment,point_of_interest",Jalan Panaitan,-6.9194439,107.617851
ChIJd2Gz1DXmaC4RdvzamnLgRZM,Masjid Kodiklat TNI AD,-6.9099575,107.6159146,4.8,159,lainnya,"establishment,mosque,place_of_worship,point_of_interest",SMA Negeri 3 dan 5 Bandung,-6.9120262,107.6150543
ChIJIyNxEzTmaC4RSFykImmiwKc,Sentra Digital Printing,-6.9113916,107.6169406,4.5,139,komersial,"establishment,point_of_interest,store",SMA Negeri 3 dan 5 Bandung,-6.9120262,107.6150543
ChIJF4aN-zPmaC4R6hmttCioPBY,Rumah Belajar Daniel (Bali),-6.9129827,107.6159651,5.0,97,lainnya,"establishment,point_of_interest",SMA Negeri 3 dan 5 Bandung,-6.9120262,107.6150543
