edge_id,name,highway,lat,lon
25433684_6622103728,Jalan Pajajaran,primary,-6.907122890787394,107.60362587301829
25433684_6622103728,Jalan Pajajaran,primary,-6.907149864234963,107.60407720347331
25433686_11124688730,Jalan HOS. Cokroaminoto,trunk,-6.903992400000003,107.5975343
25433686_11124688730,Jalan HOS. Cokroaminoto,trunk,-6.903541053023424,107.59751320553823
25433686_5334388842,Jalan dr. Rajiman,primary,-6.903992400000003,107.5975343
25433686_5334388842,Jalan dr. Rajiman,primary,-6.9039869342828135,107.59798640292148
25433686_5334388842,Jalan dr. Rajiman,primary,-6.903981225750671,107.59843850003875
25433686_5334388842,Jalan dr. Rajiman,primary,-6.903973821870684,107.59889055758282
25433686_5334388842,Jalan dr. Rajiman,primary,-6.903964946183443,107.59934260150327
25433686_5334388842,Jalan dr. Rajiman,primary,-6.903953306833596,107.599794586796
25433686_5334388842,Jalan dr. Rajiman,primary,-6.903938709390256,107.60024647837535
25433686_5334388842,Jalan dr. Rajiman,primary,-6.90392070582444,107.60069825424627
25433686_5278840351,Jalan HOS. Cokroaminoto,trunk,-6.903992400000003,107.5975343
25433686_5278840351,Jalan HOS. Cokroaminoto,trunk,-6.904444150439125,107.59754324039667
25433686_5278840351,Jalan HOS. Cokroaminoto,trunk,-6.904895886339422,107.59755287639372
25433768_5369274905,Jalan Pandawa,secondary,-6.907590099999993,107.5926308
25433768_5369274905,Jalan Pandawa,secondary,-6.9073068310338686,107.5922785449892
25433768_13261248357,Jalan Arjuna,secondary,-6.907590099999993,107.5926308
25433768_13261248357,Jalan Arjuna,secondary,-6.907957685218023,107.59236788223565
25433768_13261248357,Jalan Arjuna,secondary,-6.908319215998742,107.59209667467229
25433768_13261248357,Jalan Arjuna,secondary,-6.9086807401261385,107.59182545786842
25433873_4854744076,,secondary_link,-6.906943499999998,107.587079
25433873_11138593393,Jalan Abdul Rahman Saleh,trunk,-6.906943499999998,107.587079
25433873_11138593393,Jalan Abdul Rahman Saleh,trunk,-6.906854177931058,107.58752218157602
25433891_11125489871,Jalan Pajajaran,secondary,-6.9060304,107.5858421
25433891_11125489871,Jalan Pajajaran,secondary,-6.905887008159562,107.58541332954297
25433891_11125489871,Jalan Pajajaran,secondary,-6.905743593912019,107.58498456655795
25433891_11125489871,Jalan Pajajaran,secondary,-6.9056001997861305,107.58455579680427
25433891_11125489871,Jalan Pajajaran,secondary,-6.905456787483154,107.58412703310661
25433891_11125489871,Jalan Pajajaran,secondary,-6.905313375245511,107.58369826935642
25433891_11125489871,Jalan Pajajaran,secondary,-6.905157780058349,107.58327384341378
25433891_11125489871,Jalan Pajajaran,secondary,-6.90499922264177,107.58285048897329
25433891_11125489871,Jalan Pajajaran,secondary,-6.904869783589866,107.58241729612189
25433891_11125489871,Jalan Pajajaran,secondary,-6.904740344055474,107.581984103373
25433891_11125489871,Jalan Pajajaran,secondary,-6.904610904038604,107.58155091072662
25433891_11125489871,Jalan Pajajaran,secondary,-6.904499131501658,107.58111287956216
25433891_11125489871,Jalan Pajajaran,secondary,-6.904390084874406,107.58067410180064
25433891_2325451719,Jalan Pajajaran,secondary,-6.9060304,107.5858421
25433891_2325451719,Jalan Pajajaran,secondary,-6.906181601468074,107.586268175541
25433891_2325451719,Jalan Pajajaran,secondary,-6.906332814524514,107.5866942469454
25433891_10628427188,Kapten Tata Natanegara,secondary,-6.9060304,107.5858421
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.920332799999996,107.5698295
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.920761278531037,107.5696865943126
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.92119524881139,107.56956071241135
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.921627139689289,107.5694279534921
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.92184913560824,107.56913444881923
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.9217977828014945,107.56869322329734
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.922169191761865,107.56845819311813
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.92260547456892,107.568340806307
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.9230383549484245,107.56821117551598
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.923469444226038,107.56807572869572
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.923883316997371,107.56789744132743
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.924280101342013,107.567682217061
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.924529286639016,107.56730841417632
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.9248483779033245,107.5669888948669
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.925085190045644,107.56661494023008
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.9253720223330175,107.56628901946696
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.925784706400683,107.56610506210647
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.926200974729264,107.56592918596115
25433989_3252892639,Jalan Raya Cijerah,secondary,-6.926615883327797,107.56575013870281
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.920332799999996,107.5698295
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.919911704573819,107.56999312588063
25433989_3245886198,Jalan Raya Cijerah,secondary,-6.919476818698692,107.57011568386001
