tas_nit_id,n_points,avg_distance_to_stop,min_distance_to_stop,max_distance_to_stop,nearest_stop_name,street_name,highway_type,center_lat,center_lon,walking_class
5397556729_5353901420_STOP389,11,596.7272727272727,558.9,649.2,PT LEN Industri B,Jalan Pasir Salam,tertiary,-6.943746144332294,107.61914542597559,Sedang (400-800m)
5397556729_5353901420_STOP461,1,664.8,664.8,664.8,Mengger Girang,Jalan Pasir Salam,tertiary,-6.943480836149549,107.61648073693208,Sedang (400-800m)
5397556729_5482193900_STOP120,9,308.9,108.2,509.9,Pasirluyu Selatan/Sukaati,Jalan Pasir Salam,tertiary,-6.946531741530511,107.62125981632818,Dekat (200-400m)
5397556729_6436250308_STOP120,4,529.2249999999999,508.4,568.8,Pasirluyu Selatan/Sukaati,Jalan Suryalaya,tertiary,-6.9445827758998515,107.62172866918667,Sedang (400-800m)
5397556729_6436250308_STOP579,3,495.6333333333334,446.1,545.2,Seberang Griya Buah Batu,Jalan Suryalaya,tertiary,-6.943662177066286,107.62295366658971,Sedang (400-800m)
5397822748_5397822942_STOP202,1,39.3,39.3,39.3,Sekejati,Jalan H. Ibrahim Adjie,primary,-6.939480625944244,107.64220526920734,Sangat Dekat (<200m)
5397822748_5397822942_STOP203,2,33.0,21.2,44.8,Kebon Kangkung 11,Jalan H. Ibrahim Adjie,primary,-6.937902492279081,107.64230659424082,Sangat Dekat (<200m)
5397822748_5397822942_STOP444,2,90.69999999999999,65.6,115.8,Borma Kiaracondong,Jalan H. Ibrahim Adjie,primary,-6.941960551809633,107.64204606711232,Sangat Dekat (<200m)
5397822748_5397822942_STOP445,4,73.975,5.4,147.1,Seberang Jalan Sekejati,Jalan H. Ibrahim Adjie,primary,-6.940607862889642,107.6421328722473,Sangat Dekat (<200m)
5397822748_5397822942_STOP446,2,49.65,24.7,74.6,KPP Madya Dua Bandung,Jalan H. Ibrahim Adjie,primary,-6.938804282806364,107.64224869219927,Sangat Dekat (<200m)
5397822748_5397822942_STOP447,1,179.6,179.6,179.6,SDN 38 Kiaracondong,Jalan H. Ibrahim Adjie,primary,-6.934972847678428,107.64251032838776,Sangat Dekat (<200m)
5397822748_5397822942_STOP609,5,91.03999999999999,29.7,180.1,Kebon Kangkung,Jalan H. Ibrahim Adjie,primary,-6.936324606358873,107.6424113966685,Sangat Dekat (<200m)
5397822748_9198770125_STOP444,1,65.6,65.6,65.6,Borma Kiaracondong,,primary_link,-6.942186000000004,107.6420316,Sangat Dekat (<200m)
5397822942_2325453226_STOP447,1,154.6,154.6,154.6,SDN 38 Kiaracondong,,primary_link,-6.934746700000006,107.6425372,Sangat Dekat (<200m)
5397822942_3278000648_STOP447,4,83.675,18.3,154.6,SDN 38 Kiaracondong,Jalan H. Ibrahim Adjie,primary,-6.9340803955132175,107.64265953861143,Sangat Dekat (<200m)
5397822942_3278000648_STOP831,3,41.06666666666667,21.2,70.4,Binong,Jalan H. Ibrahim Adjie,primary,-6.9325303321468,107.64297092164163,Sangat Dekat (<200m)
5406559329_7673681628_STOP142,4,65.125,23.9,128.8,Kawaluyaan,Jalan Soekarno-Hatta,secondary,-6.9389736483136,107.66402651395363,Sangat Dekat (<200m)
5406559329_7673681628_STOP148,1,69.5,69.5,69.5,RS Al Islam,Jalan Soekarno-Hatta,secondary,-6.938624541623857,107.66876063491112,Sangat Dekat (<200m)
5406559329_7673681628_STOP362,4,99.475,34.8,169.6,Metro Soekarno Hatta,Jalan Soekarno-Hatta,secondary,-6.938827613422121,107.66582886467876,Sangat Dekat (<200m)
5406559329_7673681628_STOP363,3,99.16666666666667,53.1,146.3,Rancabolang,Jalan Soekarno-Hatta,secondary,-6.939149374840311,107.66245402850399,Sangat Dekat (<200m)
5406559329_7673681628_STOP451,4,58.2,15.8,115.9,Sanggar Hurip,Jalan Soekarno-Hatta,secondary,-6.938703587131607,107.66763306625782,Sangat Dekat (<200m)
5408954334_2519873343_STOP621,3,59.800000000000004,20.9,97.5,Pos Polisi Cicadas,"['Jalan Jenderal Ahmad Yani', 'Jalan H. Ibrahim Adjie']",primary,-6.9087162994502656,107.64348983215262,Sangat Dekat (<200m)
5408954334_5205570048_STOP621,1,97.5,97.5,97.5,Pos Polisi Cicadas,Jalan Cikutra,secondary,-6.908447099999996,107.6437989,Sangat Dekat (<200m)
5408954335_10173744448_STOP567,2,66.0,55.2,76.8,De Pavilijoen,Jalan Citarum,tertiary,-6.905765779392027,107.62125286357374,Sangat Dekat (<200m)
