tas_nit_id,sentiment_score,avg_rating,n_reviews_total,n_places,positive_ratio,negative_ratio,categories,street_name
11124688730_2325451280_STOP474,0.96,5.0,5,1,1.0,0.0,finansial,Jalan HOS. Cokroaminoto
11124688730_2325451280_STOP475,0.915,4.8,5,1,1.0,0.0,katering,Jalan HOS. Cokroaminoto
11124688730_2325451280_STOP82,0.8325,4.5,10,2,0.9,0.1,"katering,pendidikan",Jalan HOS. Cokroaminoto
11136401953_2518074025_STOP822,0.895,4.8,5,1,1.0,0.0,katering,Jalan Pintu Masuk GBLA
11138589127_2325451571_STOP88,0.67,3.8,5,1,0.8,0.2,katering,Jalan dr. Cipto
11138589131_5278840351_STOP78,0.94,5.0,5,1,1.0,0.0,lainnya,Jalan dr. Rum
11138593392_8582835480_STOP812,0.98,5.0,5,1,1.0,0.0,finansial,Jalan Pajajaran
11138593392_8582835480_STOP84,0.72,4.2,5,1,0.6,0.0,komersial,Jalan Pajajaran
11138593395_25434098_STOP765,1.0,5.0,5,1,1.0,0.0,katering,Jalan Aruna
11138680825_11138680823_STOP393,0.92,5.0,5,1,1.0,0.0,lainnya,Jalan Sentot Alibasyah
11138680825_1660264881_STOP393,0.76,4.2,5,1,0.8,0.2,lainnya,Jalan Surapati
11176912866_2325452068_STOP193,0.76,4.2,5,1,0.8,0.2,lainnya,Jalan Perintis Kemerdekaan
11176912866_5358212386_STOP677,0.78,4.2,5,1,0.8,0.0,lainnya,Jalan Suniaraja
11180921760_1660253697_STOP354,0.94,5.0,5,1,1.0,0.0,lainnya,Jalan Cikapayang
11181448955_11181448972_STOP706,0.74,4.2,5,1,0.8,0.2,katering,Jalan Pelajar Pejuang 45
11181448979_2325453211_STOP706,0.955,4.8,5,1,1.0,0.0,lainnya,Jalan Pelajar Pejuang 45
11181449017_3272575990_STOP138,0.953,5.0,10,2,1.0,0.0,"lainnya,komersial",
11181449053_2325453378_STOP256,0.9667,5.0,5,1,1.0,0.0,katering,Jalan BKR
11181664518_14003143457_STOP393,0.92,5.0,5,1,1.0,0.0,rekreasi,Jalan Sentot Alibasyah
11199413649_2518075055_STOP387,0.9333,5.0,3,1,1.0,0.0,lainnya,Jalan Rancanumpang
11224280874_7715425662_STOP364,0.81,4.6,5,1,0.8,0.0,lainnya,Jalan Soekarno-Hatta
11224280874_7715425662_STOP365,0.87,4.6,5,1,0.8,0.0,komersial,Jalan Soekarno-Hatta
11224280874_7715425662_STOP37,0.98,5.0,5,1,1.0,0.0,lainnya,Jalan Soekarno-Hatta
11224280874_7715425662_STOP454,0.4543,2.6,5,1,0.4,0.6,finansial,Jalan Soekarno-Hatta
11224280874_7715425662_STOP455,0.9584,5.0,10,2,1.0,0.0,"komersial,kesehatan",Jalan Soekarno-Hatta
11235233277_3277883745_STOP431,0.78,4.2,5,1,0.8,0.2,kesehatan,Jalan BKR
11262097537_11104669201_STOP514,0.9,5.0,5,1,1.0,0.0,katering,Jalan Ganesha
11262097537_11104669201_STOP515,0.93,5.0,15,3,1.0,0.0,lainnya,Jalan Ganesha
11262097537_11104669201_STOP516,0.9,5.0,5,1,1.0,0.0,lainnya,Jalan Ganesha
11262097537_11104669201_STOP517,0.94,5.0,5,1,1.0,0.0,lainnya,Jalan Ganesha
11262097537_1956899631_STOP166,0.5475,3.3,10,2,0.6,0.4,lainnya,Jalan Tamansari
11262097537_1956899631_STOP167,0.79,4.6,5,1,0.8,0.0,pendidikan,Jalan Tamansari
11262097537_1956899631_STOP552,0.875,4.8,5,1,1.0,0.0,pendidikan,Jalan Tamansari
11262097537_1956899631_STOP619,0.83,4.6,10,2,0.9,0.1,"komersial,pendidikan",Jalan Tamansari
11262097537_9767043233_STOP587,0.4133,2.6,5,1,0.4,0.6,finansial,Jalan Tamansari
11294966882_3374033494_STOP673,0.915,4.8,5,1,1.0,0.0,lainnya,Jalan Aceh
11310046580_11546102144_STOP768,0.76,4.2,10,2,0.8,0.2,"komersial,lainnya",Jalan Ciroyom
11310497696_2518040289_STOP402,0.575,3.2,5,1,0.6,0.4,kesehatan,Jalan Abdul Haris Nasution
11310497696_2518040289_STOP720,0.915,4.8,5,1,1.0,0.0,komersial,Jalan Abdul Haris Nasution
11310497696_2518040289_STOP95,0.9317,4.93,15,3,1.0,0.0,"finansial,lainnya,katering",Jalan Abdul Haris Nasution
11345662513_29357859_STOP476,1.0,5.0,5,1,1.0,0.0,kesehatan,Jalan Sukamaju
